1, 3 3 3 3 3 3 3 5 1 2 3 4 4 4 4 4 3 3 3 3 3 2 2 3 2 5 3 3 3 3 3 3 3 5 1 2 3 4 4 4 4 4 3 3 3 3 5 5 4 2 1;
2, 3 3 3 3 3 3 3 5 1 2 3;
3, 4 4 4 4 4 3 3 3 3 3 2 2 3 2 5;
4, 3 3 3 3 3 3 3 5 1 2 3 4 4 4 4 4 3 3 3 3 3 2 2 3 2 5;
5, 3 3 3 3 3 3 3 5 1 2 3;
6, 4 4 4 4 4 3 3 3 3 5 5 4 2 1;
7, 3 3 3 3 3 3 3 5 1 2 3 4 4 4 4 4 3 3 3 3 5 5 4 2 1;
8, 3 3 3 3 3 3 3 5 1 2 3 4 4 4 4 4 3 3 3 3 3 2 2 3 2 5 3 3 3 3 3 3 3 5 1 2 3 4 4 4 4 4 3 3 3 3 5 5 4 2 1;
9, 3 3 3 3 3 3 3 5 1 2 3 4 4 4 4 4 3 3 3 3 3 2 2 3 2 5 3 3 3 3 3 3 3 5 1 2 3 4 4 4 4 4 3 3 3 3 5 5 4 2 1;
10, 3 3 3 3 3 3 3 5 1 2 3 4 4 4 4 4 3 3 3 3 3 2 2 3 2 5 3 3 3 3 3 3 3 5 1 2 3 4 4 4 4 4 3 3 3 3 5 5 4 2 1;
